grid_id,lat,lon,forest_mask,ndmi,ndvi,forest_pct,ndmi_raw_score,ndmi_hist_mean,ndmi_hist_min,ndmi_hist_max,ndmi_hist_count,ndmi_deviation,moisture_score_calibrated,moisture_class_calibrated,ndmi_calibration_method,map1_distance_m,map1_pressure,map2_distance_m,map2_pressure,mining_pressure_score,mining_pressure_class,fire_count,fire_frp_max,fire_frp_sum,fire_detected,fire_intensity_class,ndvi_hist_mean,ndmi_hist_mean_trend,repeated_fire_count,ndvi_trend_class,ndmi_trend_class,repeated_fire_class,health_score,health_class,health_risk,moisture_risk,mining_risk,fire_risk,historical_risk_score,final_risk_score,final_priority,patrol_action,google_maps_link,system_run_timestamp_local,corrected_health_score,corrected_health_class,corrected_health_risk,corrected_moisture_score,corrected_moisture_class,corrected_moisture_risk,corrected_mining_risk,corrected_mining_class,corrected_fire_risk,corrected_fire_class,corrected_history_risk,corrected_final_risk_score,corrected_final_priority,corrected_patrol_action,pipeline_timestamp
GD-54-34,24.98957959037007,87.36158161547738,0.6779276154042723,-0.096298538,0.4273257883258698,67.79276154042722,29,-0.096548873,-0.103008655,-0.085231454,29,0.0003,18,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,3893.13,0,0,100,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.4079438414018844,-0.096548873,0,STABLE,STABLE,NO_REPEATED_FIRE,43,MODERATE,57,82,100,0,0,58.85,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=24.98957959037007,87.36158161547738",02-05-2026 16:55,58.59,MODERATE,41.41,29.1,DRY_STRESS,59.44,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,40.75,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-54-33,24.98957959037007,87.35168069908673,0.1335598647927419,-0.115971369,0.3723242581200767,13.355986479274192,26,-0.123136496,-0.209278,-0.102614053,29,0.0072,92,GOOD_MOISTURE,GRID_HISTORY_CALIBRATED,4056.69,0,898.21,70.06,70.06,HIGH,0,,0,FALSE,NO_FIRE,0.3626197085270635,-0.123136496,0,STABLE,STABLE,NO_REPEATED_FIRE,37,STRESSED,63,8,70.06,0,0,32.16,LOW,Routine monitoring,"https://www.google.com/maps?q=24.98957959037007,87.35168069908673",02-05-2026 16:55,52.48,MODERATE,47.52,26.29,DRY_STRESS,63.19,70,NEAR_MINE,0,NO_ACTIVE_FIRE,5,40.71,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-55-34,24.99856270211998,87.36158161547738,0.9260428115145556,-0.075766022,0.404013285,92.60428115145557,32,-0.101107966,-0.119438864,-0.051264,29,0.0253,69,NORMAL_MOISTURE,GRID_HISTORY_CALIBRATED,2936.54,2.12,0,100,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.3943596035533695,-0.101107966,0,STABLE,STABLE,NO_REPEATED_FIRE,40,MODERATE,60,31,100,0,0,44.3,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=24.99856270211998,87.36158161547738",02-05-2026 16:55,56,MODERATE,44,32.03,DRY_STRESS,56.36,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,40.61,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-59-38,25.03449514911961,87.40118528103997,0.2263140478223744,-0.067530313,0.3144597645726767,22.631404782237443,33,-0.06343584,-0.0711169,0.014044,29,-0.0041,4,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,575.82,80.81,4470.6,0,80.81,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.322905163,-0.06343584,0,STABLE,STABLE,NO_REPEATED_FIRE,31,STRESSED,69,96,80.81,0,0,62.21,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.034495149119614,87.40118528103997",02-05-2026 16:55,46.05,MODERATE,53.95,33.21,DRY_STRESS,55.13,70,NEAR_MINE,0,NO_ACTIVE_FIRE,5,40.22,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-59-37,25.03449514911961,87.39128436464932,0.023073847,-0.212008347,0.058225391,2.3073846699054696,13,-0.208512262,-0.224078146,0.000978,24,-0.0035,5,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,0,100,4067.91,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.076410118,-0.208512262,2,STABLE,STABLE,LOW_REPEAT_FIRE,6,CRITICAL,94,95,100,0,7,72.35,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.034495149119614,87.39128436464932",02-05-2026 16:55,17.58,STRESSED,82.42,12.57,DRY_STRESS,82.4,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,59.95,LOW,Continue monitoring,02-05-2026 16:55
GD-60-36,25.043478260869524,87.38138344825867,0.041462707,-0.148696299,0.1340977028749681,4.1462706512991145,22,-0.148940882,-0.15788049,-0.060172,24,0.0002,14,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,0,100,4804.58,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.1478285032829131,-0.148940882,0,STABLE,STABLE,NO_REPEATED_FIRE,13,CRITICAL,87,86,100,0,0,67.55,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.043478260869524,87.38138344825867",02-05-2026 16:55,26.01,STRESSED,73.99,21.61,DRY_STRESS,69.74,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,53.62,LOW,Continue monitoring,02-05-2026 16:55
GD-60-35,25.043478260869524,87.37148253186803,0.034576929,-0.110137395,0.1774276286951733,3.457692855,27,-0.111060113,-0.118642911,-0.059313,24,0.0009,19,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,0,100,4640.42,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.1829788729008466,-0.111060113,0,STABLE,STABLE,NO_REPEATED_FIRE,18,CRITICAL,82,81,100,0,0,64.8,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.043478260869524,87.37148253186803",02-05-2026 16:55,30.83,STRESSED,69.17,27.12,DRY_STRESS,62.03,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,49.86,LOW,Continue monitoring,02-05-2026 16:55
GD-60-37,25.043478260869524,87.39128436464932,0.050990963,-0.091784546,0.2497322912697727,5.099096316738152,30,-0.091493732,-0.099804444,-0.002763,24,-0.0003,8,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,0,100,5025.59,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.2549448398289058,-0.091493732,0,STABLE,STABLE,NO_REPEATED_FIRE,25,STRESSED,75,92,100,0,0,66.35,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.043478260869524,87.39128436464932",02-05-2026 16:55,38.86,STRESSED,61.14,29.75,DRY_STRESS,58.77,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,46.47,LOW,Continue monitoring,02-05-2026 16:55
GD-61-35,25.05246137261944,87.37148253186803,0.048822232,-0.070523215,0.2713861209923885,4.882223171078846,33,-0.084327754,-0.093919177,-0.052004,24,0.0138,52,DRY,GRID_HISTORY_CALIBRATED,0,100,5633.35,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.2658830895713081,-0.084327754,0,STABLE,STABLE,NO_REPEATED_FIRE,27,STRESSED,73,48,100,0,0,52.65,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=25.052461372619437,87.37148253186803",02-05-2026 16:55,41.27,MODERATE,58.73,32.78,DRY_STRESS,55.58,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,44.79,LOW,Continue monitoring,02-05-2026 16:55
GD-50-21,24.95364714337043,87.23286970239894,0.011942007,-0.179541855,0.2343249391483748,1.1942007451345915,17,-0.173972766,-0.180561943,-0.064162,24,-0.0056,1,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,14669.68,0,13467.64,0,0,NONE,0,,0,FALSE,NO_FIRE,0.2427611817667309,-0.173972766,0,STABLE,STABLE,NO_REPEATED_FIRE,23,STRESSED,77,99,0,0,0,48.95,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=24.95364714337043,87.23286970239894",02-05-2026 16:55,37.15,STRESSED,62.85,17.21,DRY_STRESS,75.91,5,LOW_PROXIMITY,0,NO_ACTIVE_FIRE,5,42.63,LOW,Continue monitoring,02-05-2026 16:55
